Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,20,2,5,1.862704467930284,0.0,0.0,4.495688549795903,3.7,4.0
10,20,2,5,1.5389401263068068,0.0,0.0,4.513819352926818,3.7,4.0
10,20,2,5,1.7206497213517389,0.0,0.0,4.503643615604302,3.7,4.0
10,20,2,5,2.2354742206493654,0.0,0.0,4.474813443643635,3.7,4.0
10,20,2,5,1.7917091692975882,0.0,0.0,4.499664286519335,3.7,4.0
10,20,2,5,1.6646715526977518,0.0,0.0,4.506778393048926,3.7,4.0
10,20,2,5,2.144098226136553,0.0,0.0,4.479930499336352,3.7,4.0
10,20,2,5,1.3949060525791608,0.0,0.0,4.521885261055567,3.7,4.0
10,20,2,5,1.393026544806229,0.0,0.0,4.5219905134908505,3.7,4.0
10,20,2,5,1.843048842183896,0.0,0.0,4.496789264837702,3.7,4.0
10,20,2,5,1.4401221017969923,0.0,0.0,4.519353162299368,3.7,4.0
10,20,2,5,1.7842352580102183,0.0,0.0,4.500082825551427,3.7,4.0
10,20,2,5,1.516993804436613,0.0,0.0,4.515048346951549,3.7,4.0
10,20,2,5,1.6694338336540084,0.0,0.0,4.506511705315376,3.7,4.0
10,20,2,5,1.615825057395618,0.0,0.0,4.509513796785845,3.7,4.0
10,20,2,5,1.817066997745938,0.0,0.0,4.498244248126227,3.7,4.0
10,20,2,5,1.865716811695824,0.0,0.0,4.495519858545033,3.7,4.0
10,20,2,5,1.762367611426067,0.0,0.0,4.50130741376014,3.7,4.0
10,40,2,5,1.8178146130366493,0.0162399701504205,0.0077962575102317,4.498202381669947,3.6996264806865407,3.999968814969959
10,40,2,5,1.8976330195276512,0.0162437534050747,0.0202684032112365,4.493732550906451,3.6996263936716836,3.999918926387155
10,40,2,5,1.90295566541299,0.0162426048554432,0.0214770441517874,4.493434482736872,3.699626420088325,3.999914091823393
10,40,2,5,1.5320332204646232,0.032467863206016,0.031689153974883,4.5142061396539805,3.699253239146262,3.9998732433841004
10,40,2,5,1.7183153434132357,0.0162283424103003,0.0210054146522508,4.503774340768858,3.6996267481245635,3.999915978341391
10,40,2,5,2.890464924489228,0.129664750154504,3.3357639203482807,4.438133964228603,3.697017710746447,3.986656944318607
10,40,2,5,1.641505785298413,0.0162637679818178,0.0041044220704994,4.508075676023289,3.6996259333364185,3.999983582311718
10,40,2,5,2.055295349650877,0.0162457369976604,0.0217427420426108,4.484903460419551,3.699626348049054,3.9999130290318297
10,40,2,5,1.8931810045866813,0.0162335998896782,0.0156892223509777,4.493981863743145,3.6996266272025378,3.999937243110596
10,40,2,5,1.6034362697863715,0.0,0.0,4.510207568891963,3.7,4.0
10,40,2,5,1.6857737165594957,0.0,0.0,4.505596671872668,3.7,4.0
10,40,2,5,1.772763524892683,0.0487193436993013,0.0282555628879089,4.500725242606009,3.6988794550949162,3.9998869777484485
10,40,2,5,1.451943981586719,0.0,0.0,4.518691137031143,3.7,4.0
10,40,2,5,1.599194770088627,0.0,0.0,4.510445092875036,3.7,4.0
10,40,2,5,1.589044552902758,0.0,0.0,4.511013505037445,3.7,4.0
10,40,2,5,1.6554537898930577,0.0162349289763876,0.008667276592908,4.507294587765989,3.6996265966335433,3.9999653308936285
10,40,2,5,1.3959752917783028,0.0162343928888277,0.0129122841344154,4.521825383660414,3.699626608963557,3.999948350863462
10,40,2,5,2.187618260292901,0.0162317370925008,0.0362790036963874,4.477493377423597,3.6996266700468725,3.9998548839852144
10,40,2,5,1.6277713846615258,0.0,0.0,4.508844802458954,3.7,4.0
10,40,2,5,1.913598777535555,0.0,0.0,4.492838468458008,3.7,4.0
10,0,2,5,1.7109342596595032,0.0,0.0,4.504187681459068,3.7,4.0
10,0,2,5,1.7541463453987194,0.0,0.0,4.501767804657671,3.7,4.0
10,0,2,5,1.46510031954893,0.0,0.0,4.51795438210526,3.7,4.0
10,0,2,5,1.4506065523123894,0.0,0.0,4.518766033070506,3.7,4.0
10,0,2,5,1.8754456692902617,0.0,0.0,4.494975042519745,3.7,4.0
10,0,2,5,2.263600049912099,0.0,0.0,4.473238397204922,3.7,4.0
10,0,2,5,1.5356210419599865,0.0,0.0,4.51400522165024,3.7,4.0
10,0,2,5,1.400568380754636,0.0,0.0,4.52156817067774,3.7,4.0
10,0,2,5,2.1142411003316126,0.0,0.0,4.481602498381429,3.7,4.0
10,0,2,5,1.3567554677507605,0.0,0.0,4.524021693805957,3.7,4.0
10,0,2,5,1.6822884565360023,0.0,0.0,4.505791846433984,3.7,4.0
10,0,2,5,1.402737844505438,0.0,0.0,4.521446680707695,3.7,4.0
10,0,2,5,1.8164196573852676,0.0,0.0,4.498280499186425,3.7,4.0
10,0,2,5,1.583341096464198,0.0,0.0,4.511332898598004,3.7,4.0
10,0,2,5,1.7823886929510038,0.0,0.0,4.500186233194744,3.7,4.0
10,0,2,5,1.3952962438076666,0.0,0.0,4.5218634103467705,3.7,4.0
10,0,2,5,1.7732964819778283,0.0,0.0,4.500695397009241,3.7,4.0
10,0,2,5,1.890776475777389,0.0,0.0,4.494116517356466,3.7,4.0
10,0,2,5,1.5973999651866335,0.0,0.0,4.5105456019495485,3.7,4.0
10,0,2,5,1.7262157788386052,0.0,0.0,4.503331916385037,3.7,4.0
10,20,2,3,1.4479095262488255,0.0,0.0,4.518917066530065,3.7,4.0
10,20,2,3,1.7053389381901802,0.0324777700842911,0.0293880299050921,4.504501019461349,3.6992530112880613,3.99988244788038
10,20,2,3,1.5500849260205072,0.0,0.0,4.513195244142851,3.7,4.0
10,20,2,3,2.2841953467250287,0.0162294525935769,0.0322733376261989,4.472085060583398,3.699626722590348,3.999870906649495
10,20,2,3,1.789619690891463,0.0,0.0,4.4997812973100775,3.7,4.0
10,20,2,3,1.627703716335414,0.0,0.0,4.508848591885217,3.7,4.0
10,20,2,3,1.5169047432826213,0.0,0.0,4.515053334376173,3.7,4.0
10,20,2,3,1.5373134606305645,0.0,0.0,4.513910446204688,3.7,4.0
10,20,2,3,1.5259691356310128,0.0,0.0,4.514545728404663,3.7,4.0
10,20,2,3,1.7238214580046622,0.0,0.0,4.503465998351738,3.7,4.0
10,20,2,3,1.4965728812797094,0.032466932734715,0.0463081056304477,4.516191918648336,3.699253260547102,3.9998147675774782
10,20,2,3,1.843565657835738,0.0324670395292687,0.0281299625207907,4.496760323161198,3.699253258090827,3.999887480149917
10,20,2,3,1.6202704013721732,0.0162296786117059,0.0181150154573133,4.509264857523158,3.699626717391931,3.9999275399381706
10,20,2,3,1.6519091001893682,0.0,0.0,4.507493090389395,3.7,4.0
10,20,2,3,1.771144299157538,0.0,0.0,4.500815919247177,3.7,4.0
10,20,2,3,1.948228285481602,0.0,0.0,4.49089921601303,3.7,4.0
10,20,2,3,1.701629499982926,0.0,0.0,4.504708748000956,3.7,4.0
10,20,2,3,1.7101963986556754,0.0,0.0,4.504229001675282,3.7,4.0
10,20,2,3,1.881343575208036,0.0162408978480403,0.0231378549735762,4.49464475978835,3.699626459349495,3.999907448580106
10,20,2,3,1.597701213043366,0.0162351519678879,0.0159586023892669,4.510528732069571,3.699626591504739,3.999936165590443
10,40,2,3,2.436436951569586,0.1629448849536721,1.2512971148986465,4.463559530712103,3.6962522676460656,3.9949948115404053
10,40,2,3,2.446194884788061,0.1466694470887778,0.5975051550916781,4.463013086451868,3.6966266027169583,3.997609979379633
10,40,2,3,2.3136303546142574,0.1467278860514133,0.984976049695322,4.470436700141601,3.6966252586208177,3.996060095801219
10,40,2,3,2.1368730152951305,0.1466898165973832,0.4382846258970039,4.480335111143472,3.6966261342182603,3.998246861496412
10,40,2,3,2.3855683068429907,0.1304348750648636,1.691157090047428,4.4664081748167925,3.696999997873508,3.9932353716398103
10,40,2,3,2.399479621114686,0.1954789362853575,1.159072674491108,4.465629141217577,3.695503984465437,3.9953637093020355
10,40,2,3,2.2013911470914898,0.1792477605879194,1.0058264188642874,4.476722095762876,3.695877301506478,3.995976694324543
10,40,2,3,2.2483167526414225,0.1141858306474113,1.3718752550904731,4.47409426185208,3.6973737258951096,3.994512498979638
10,40,2,3,2.443777504165268,0.179447456078647,1.391424579198793,4.463148459766745,3.6958727085101915,3.9944343016832047
10,40,2,3,2.535518452221053,0.1304418039581653,2.2716607777032585,4.45801096667562,3.696999838508962,3.990913356889187
10,40,2,3,2.606289236583501,0.179457933420799,1.8131520230545817,4.454047802751323,3.6958724675313217,3.992747391907782
10,40,2,3,2.8800723062583,0.1623696175968808,3.5883648143898603,4.438715950849534,3.696265498795272,3.9856465407424406
10,40,2,3,2.40084629136018,0.163149496426002,1.0120336201771118,4.465552607683829,3.696247561582202,3.9959518655192916
10,40,2,3,2.2200850374976877,0.1306454268510193,1.0796330348739545,4.475675237900129,3.6969951551824267,3.9956814678605044
10,40,2,3,2.5424581933424517,0.146743420356889,1.2335495509277885,4.457622341172822,3.696624901331792,3.995065801796289
10,40,2,3,2.400735950262899,0.1627346946161753,0.8226329944276646,4.4655587867852775,3.696257102023828,3.9967094680222894
10,40,2,3,2.1231109598263718,0.1301726977415039,0.4776642884907255,4.4811057862497226,3.6970060279519457,3.998089342846037
10,40,2,3,2.691057295919892,0.1793497386553784,1.2455810979748283,4.4493007914284854,3.6958749560109263,3.995017675608101
10,40,2,3,2.3531980324345763,0.1141147079597154,1.4443655412674126,4.468220910183663,3.6973753617169267,3.9942225378349305
