Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
4,'2025-01-30 03:19:46,'2025-01-30 03:21:06,3.32,65,9.760313510894775,318.65783619880676,1.1,0,0,0,3
5,'2025-01-30 03:21:06,'2025-01-30 03:22:26,3.28,65,9.761260509490967,398.42579436302185,1.1,0,0,0,3
6,'2025-01-30 03:22:26,'2025-01-30 03:23:46,3.32,65,9.654530048370361,478.10807037353516,1.1,0,0,0,3
7,'2025-01-30 03:23:46,'2025-01-30 03:25:05,3.29,65,9.681890726089478,557.7803084850311,1.1,0,0,0,3
8,'2025-01-30 03:25:05,'2025-01-30 03:26:25,3.28,65,9.723644018173218,637.4684958457947,1.11,0,0,0,3
9,'2025-01-30 03:26:25,'2025-01-30 03:27:45,3.31,65,9.729810237884521,717.2106447219849,1.1,0,0,0,3
10,'2025-01-30 03:27:45,'2025-01-30 03:29:04,3.3,65,9.691054344177246,796.8833587169647,1.1,0,0,0,3
11,'2025-01-30 03:29:04,'2025-01-30 03:30:24,3.27,65,9.61780333518982,876.4907701015472,1.1,0,0,0,3
12,'2025-01-30 03:30:24,'2025-01-30 03:31:44,3.3,65,9.72169804573059,956.2440981864929,1.11,0,0,0,3
13,'2025-01-30 03:31:44,'2025-01-30 03:33:04,3.3,65,9.748290538787842,1036.0003554821014,1.1,0,0,0,3
14,'2025-01-30 03:33:04,'2025-01-30 03:34:23,3.31,65,9.68515157699585,1115.739001750946,1.11,0,0,0,3
15,'2025-01-30 03:34:23,'2025-01-30 03:35:43,3.28,65,9.688893556594849,1195.4051411151886,1.1,0,0,0,3
16,'2025-01-30 03:35:43,'2025-01-30 03:37:03,3.28,65,9.610987663269043,1275.0227637290955,1.11,0,0,0,3
17,'2025-01-30 03:37:03,'2025-01-30 03:38:22,3.28,65,9.734073162078857,1354.7702865600586,1.1,0,0,0,3
18,'2025-01-30 03:38:22,'2025-01-30 03:39:42,3.27,65,9.691002130508423,1434.4292709827423,1.1,0,0,0,3
19,'2025-01-30 03:39:42,'2025-01-30 03:41:02,3.28,65,9.66142988204956,1514.087733745575,1.1,0,0,0,3
20,'2025-01-30 03:41:02,'2025-01-30 03:42:21,3.29,65,9.664111614227295,1593.7743592262268,1.11,0,0,0,3
