Step,Queue Length,Counters,Thresholds
78,Queue Length: 8,Counters: [5 5 5 5 5 5 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
79,Queue Length: 7,Counters: [6 6 6 6 6 6 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
80,Queue Length: 7,Counters: [7 7 7 7 7 7 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
81,Queue Length: 7,Counters: [8 8 8 8 8 8 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
82,Queue Length: 7,Counters: [9 9 9 9 9 9 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
83,Queue Length: 7,Counters: [10 10 10 10 10 10 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
84,Queue Length: 8,Counters: [11 11 11 11 11 11 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
85,Queue Length: 7,Counters: [12 12 12 12 12 12 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
86,Queue Length: 7,Counters: [13 13 13 13 13 13 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
87,Queue Length: 7,Counters: [14 14 14 14 14 14 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
88,Queue Length: 7,Counters: [15 15 15 15 15 15 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
89,Queue Length: 7,Counters: [16 16 16 16 16 16 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
90,Queue Length: 7,Counters: [17 17 17 17 17 17 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
91,Queue Length: 8,Counters: [18 18 18 18 18 18 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
92,Queue Length: 8,Counters: [19 19 19 19 19 19 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
