Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,20,2,3,600,1.5,1.531461892409341,0.0,0.0,4.514238134025076,3.7,4.0
10,20,2,3,600,1.5,1.5316468758722908,0.0,0.0,4.514227774951151,3.7,4.0
10,20,2,3,600,1.5,1.6007398369466137,0.0,0.0,4.5103585691309895,3.7,4.0
10,20,2,3,600,1.5,1.5384593067975856,0.0,0.0,4.513846278819335,3.7,4.0
10,20,2,3,600,1.5,1.7060288805461603,0.0,0.0,4.504462382689415,3.7,4.0
10,20,2,3,600,1.5,1.6001924140618422,0.0,0.0,4.510389224812537,3.7,4.0
10,20,2,3,600,1.5,1.693350637827822,0.0,0.0,4.505172364281641,3.7,4.0
10,0,2,3,600,1.5,1.723536263497302,0.0,0.0,4.503481969244151,3.7,4.0
10,0,2,3,600,1.5,1.6603784738442655,0.0,0.0,4.507018805464721,3.7,4.0
10,0,2,3,600,1.5,1.7119054164698495,0.0,0.0,4.504133296677688,3.7,4.0
10,0,2,3,600,1.5,1.476567909224597,0.0,0.0,4.517312197083422,3.7,4.0
10,0,2,3,600,1.5,1.540402877986235,0.0,0.0,4.513737438832771,3.7,4.0
10,0,2,3,600,1.5,1.8307845020241131,0.0,0.0,4.497476067886649,3.7,4.0
10,0,2,3,600,1.5,1.6009103785686103,0.0,0.0,4.510349018800158,3.7,4.0
10,0,2,3,600,1.5,1.4531001860071142,0.0,0.0,4.518626389583601,3.7,4.0
10,0,2,3,600,1.5,1.904690738246876,0.0,0.0,4.493337318658175,3.7,4.0
10,0,2,3,600,1.5,1.7657065456805527,0.0,0.0,4.501120433441889,3.7,4.0
10,0,2,3,600,1.5,1.5512167184740058,0.0,0.0,4.513131863765455,3.7,4.0
10,0,2,3,600,1.5,1.79836568692016,0.0,0.0,4.499291521532471,3.7,4.0
10,0,2,3,600,1.5,1.6263047963057635,0.0,0.0,4.508926931406877,3.7,4.0
10,0,2,3,600,1.5,1.5365253695002217,0.0,0.0,4.513954579307987,3.7,4.0
10,0,2,3,600,1.5,1.5136873842872949,0.0,0.0,4.515233506479911,3.7,4.0
10,0,2,3,600,1.5,1.5934535191013195,0.0,0.0,4.5107666029303255,3.7,4.0
10,0,2,3,600,1.5,1.812970585546455,0.0,0.0,4.498473647209398,3.7,4.0
10,0,2,3,600,1.5,1.6449799243932566,0.0,0.0,4.507881124233977,3.7,4.0
10,0,2,3,600,1.5,1.6024998536349535,0.0,0.0,4.510260008196442,3.7,4.0
10,0,2,3,600,1.5,1.821044111304078,0.0,0.0,4.498021529766971,3.7,4.0
10,40,2,3,600,2.0,1.785413697684458,0.0324962946826596,0.0512098059163839,4.50001683292967,3.699252585222299,3.9997951607763347
10,40,2,3,600,2.0,1.7887876278497556,0.0324795483603558,0.0328016155618971,4.499827892840413,3.699252970387712,3.9998687935377526
10,40,2,3,600,2.0,1.8733380120384189,0.0650150769980066,0.0586348874318841,4.495093071325848,3.698504653229046,3.9997654604502726
10,40,2,3,600,2.0,1.965547935329793,0.0487366558554928,0.3104638371947516,4.489929315621532,3.698879056915324,3.998758144651221
10,40,2,3,600,2.0,1.5675723754601003,0.0162393951371592,0.0143144746739711,4.5122159469742344,3.6996264939118455,3.9999427421013043
10,40,2,3,600,2.0,1.7012252299899766,0.0162267178744451,0.0650036800966194,4.504731387120561,3.699626785488888,3.9997399852796134
10,40,2,3,600,2.0,1.7633338730483152,0.0324947755530613,0.076793798242181,4.501253303109294,3.6992526201622797,3.999692824807031
10,40,2,3,600,2.0,1.826093536256964,0.0650100008847179,0.3197251002611233,4.49773876196961,3.698504769979652,3.9987210995989555
