Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
54,jitter_values_20250226_171037.csv,2,20,E-Policy,3,600,2,3.79871912168344,0.6163212864243596,16.69123677950595,1.706697066762305,1,50.1533,0.28180076491162415,0.0,0.01675394378987592
55,jitter_values_20250226_171202.csv,2,20,E-Policy,3,600,2,2.941140591643794,0.32752521766794646,16.68796145166209,1.7508424915688285,1,35.3255,0.033372664434759614,0.0,0.016751949603978612
56,jitter_values_20250226_171326.csv,2,20,E-Policy,3,600,2,4.031746031746032,0.9932133697099066,16.701221153846152,1.8908518883776662,0,,0.0,0.0,0.0
57,jitter_values_20250226_171450.csv,2,20,E-Policy,3,600,2,3.7140677448886175,0.6436221990358699,16.690616783643577,1.584707071148564,0,,0.0,0.0,0.0
58,jitter_values_20250226_171614.csv,2,20,E-Policy,3,600,2,3.4728658536585364,0.6028257797242039,16.68887073170732,1.7826844776170807,1,34.0438,0.011897943733474556,0.0,0.01674667575010572
59,jitter_values_20250226_171738.csv,2,20,E-Policy,3,600,2,2.9987797437461867,0.3360158600666816,16.686132275777915,1.7273807492923212,1,34.0929,0.01272570404783127,0.0,0.01675391479849187
60,jitter_values_20250226_171903.csv,2,20,E-Policy,3,600,2,2.9752898108602808,0.37425481842174835,16.690993593654667,1.7690411455363007,1,50.6054,0.28937000410561653,0.0,0.016753641637637123
61,jitter_values_20250226_172027.csv,2,20,E-Policy,3,600,2,2.9701128392802683,0.28436535325783846,16.685123452272034,1.6637322856878327,0,,0.0,0.0,0.0
62,jitter_values_20250226_172151.csv,2,20,E-Policy,3,600,2,2.4434278743519364,0.6798897801003443,16.675981823726744,2.3122874968975933,7,"33.3344, 65.4282, 48.4468, 50.9235, 35.9476, 34.9333, 35.5676",1.193338072498701,11.065478357320416,0.11724342070512608
63,jitter_values_20250226_172315.csv,2,20,E-Policy,3,600,2,4.745421245421245,1.0304792213099436,16.707704914529913,1.8293355157493518,2,"38.7902, 33.6925",0.09743330916154792,2.548849999999998,0.03350508015139804
64,jitter_values_20250226_172439.csv,2,20,E-Policy,3,600,2,3.213544844417328,0.8562393040359542,16.696136821232457,1.8199835452519897,1,38.3496,0.08402493988948948,0.0,0.016750495266696273
